ZIPCODE,CITY,STATE,COUNTY,LATITUDE,LONGITUDE
75763,Frankston,TX,Anderson,32.0535,-95.5163
75779,Neches,TX,Anderson,31.7942,-95.662
75801,Palestine,TX,Anderson,31.7588,-95.6342
75802,Palestine,TX,Anderson,31.9268,-95.5796
75803,Palestine,TX,Adams,31.7571,-95.6545
75832,Cayuga,TX,Anderson,31.7942,-95.662
75839,Elkhart,TX,Anderson,31.648,-95.5551
75853,Montalba,TX,Anderson,31.9329,-95.7935
75861,Tennessee Colony,TX,Anderson,31.7929,-95.8998
75880,Tennessee Colony,TX,Anderson,31.7942,-95.662
75882,Palestine,TX,Anderson,31.7942,-95.662
75884,Tennessee Colony,TX,Anderson,31.7942,-95.662
75886,Tennessee Colony,TX,Anderson,31.7942,-95.662
79714,Andrews,TX,Andrews,32.3201,-102.5409
75901,Lufkin,TX,Angelina,31.27,-94.6469
75902,Lufkin,TX,Angelina,31.3623,-94.7611
75903,Lufkin,TX,Angelina,31.2766,-94.5676
75904,Lufkin,TX,Angelina,31.3489,-94.8327
75915,Lufkin,TX,Angelina,31.2873,-94.5771
75941,Diboll,TX,Angelina,31.195,-94.7729
75949,Huntington,TX,Angelina,31.2837,-94.5662
75969,Pollok,TX,Angelina,31.4291,-94.8254
75980,Zavalla,TX,Angelina,31.1569,-94.3871
78358,Fulton,TX,Aransas,28.0865,-97.0416
78381,Rockport,TX,Aransas,28.0131,-97.0936
78382,Rockport,TX,Aransas,28.0308,-97.0688
76351,Archer City,TX,Archer,33.5562,-98.6249
76366,Holliday,TX,Archer,33.6751,-98.6576
76370,Megargel,TX,Archer,33.4533,-98.9297
76379,Scotland,TX,Archer,33.6535,-98.465
76389,Windthorst,TX,Archer,33.5796,-98.4376
79019,Claude,TX,Armstrong,35.0967,-101.3813
79094,Wayside,TX,Armstrong,34.9653,-101.3578
78008,Campbellton,TX,Atascosa,28.767,-98.2566
78011,Charlotte,TX,Atascosa,28.8649,-98.707
78012,Christine,TX,Atascosa,28.7858,-98.4886
78026,Jourdanton,TX,Atascosa,28.903,-98.544
78050,Leming,TX,Atascosa,29.077,-98.509
78052,Lytle,TX,Atascosa,29.2366,-98.7945
78053,Mc Coy,TX,Atascosa,28.8518,-98.2685
78062,Peggy,TX,Atascosa,28.92,-98.5529
78064,Pleasanton,TX,Atascosa,28.9924,-98.4831
78065,Poteet,TX,Atascosa,29.0994,-98.6241
77418,Bellville,TX,Austin,29.9658,-96.2531
77452,Kenney,TX,Austin,29.8493,-96.3133
77473,San Felipe,TX,Austin,29.8019,-96.1014
77474,Sealy,TX,Austin,29.7826,-96.1592
77485,Wallis,TX,Austin,29.6397,-96.0456
78931,Bleiblerville,TX,Austin,29.8493,-96.3133
78933,Cat Spring,TX,Austin,29.7512,-96.39
78944,Industry,TX,Austin,29.9904,-96.4843
78950,New Ulm,TX,Austin,29.9134,-96.4961
79320,Bula,TX,Bailey,33.897,-102.6564
79324,Enochs,TX,Bailey,33.8502,-102.7641
79344,Maple,TX,Bailey,33.8622,-102.9266
79347,Muleshoe,TX,Bailey,34.2193,-102.7496
78003,Bandera,TX,Bandera,29.7276,-99.0453
78055,Medina,TX,Bandera,29.8475,-99.3215
78063,Pipe Creek,TX,Bandera,29.6796,-98.9484
78883,Tarpley,TX,Bandera,29.6455,-99.2469
78885,Vanderpool,TX,Bandera,29.7418,-99.5555
